,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,798,Yabelo,et,4.89,38.09,65.25,89,56,3.4,155.001
1,1749,Derbent,ru,42.06,48.29,62.01,75,0,2.17,269.001
2,516,Gamba,ga,-2.72,10.02,78.3,99,20,8.77,192.501
3,279,Sao Jose Do Calcado,br,-21.03,-41.65,69.48,78,92,6.2,125.001
4,1636,Emirdag,tr,39.02,31.15,57.69,95,20,2.28,305.501
5,729,Bitung,id,1.44,125.19,77,94,40,2.24,10
6,1966,Aksay,kz,51.17,53.01,72.63,39,92,17.16,348.501
7,1497,Tobe,jp,33.74,132.79,69.8,52,90,6.93,300
8,1074,Suwannaphum,th,15.61,103.81,74.52,95,68,3.85,194.001
9,1567,Marchena,es,37.33,-5.42,70.63,46,20,13.87,240
10,33,Jamestown,sh,-15.94,-5.72,72.81,100,0,11.68,105.501
11,324,Quatre Cocos,mu,-20.21,57.76,77,73,75,16.11,90
12,794,Rafai,cf,4.95,23.92,77.49,76,24,4.29,290.501
13,2209,Hay River,ca,60.82,-115.79,51.8,87,75,4.7,330
14,1593,Zhangye,cn,38.94,100.46,41.85,89,12,3.29,246.501
15,377,Barra Do Garcas,br,-15.89,-52.26,89.6,43,0,9.17,120
16,1867,Anda,cn,46.41,125.33,47.52,73,0,2.17,132.501
17,1433,Hit,iq,33.64,42.83,84.06,18,0,6.64,323.001
18,2447,Mehamn,no,71.03,27.85,50.49,40,0,11.41,190
19,2333,Hella,is,63.84,-20.4,44.6,87,75,10.29,150
20,756,Isiro,cd,2.77,27.62,73.71,90,0,1.83,66.0007
21,222,Caravelas,br,-17.73,-39.27,76.23,100,36,12.91,130.001
22,1013,Umm Kaddadah,sd,13.6,26.69,87.39,31,20,8.21,169.001
23,53,Wanaka,nz,-44.7,169.14,18.45,90,36,2.06,308.501
24,42,Comodoro Rivadavia,ar,-45.87,-67.48,66.2,48,0,13.87,360
25,1296,Qeshm,ir,26.96,56.27,91.18,20,68,4.7,260
26,2046,Kitimat,ca,54.02,-128.69,50,61,90,11.41,180
27,1310,Shaoyang,cn,27.23,111.45,82.53,63,56,7.31,212.501
28,93,Bairnsdale,au,-37.83,147.63,40.23,95,0,2.62,301.501
29,496,Bima,id,-8.45,118.73,74.52,100,12,4.29,164.001
30,575,Talara,pe,-4.58,-81.27,78.8,57,0,18.34,160
31,1945,Port-Cartier,ca,50.03,-66.88,39.2,93,90,9.17,90
32,846,Kalmunai,lk,7.42,81.82,73.17,100,36,4.41,188.501
33,1730,Gloversville,us,43.05,-74.34,83.64,37,1,8.05,300
34,1672,Falmouth,us,41.55,-70.61,75.83,27,1,10.29,270
35,1245,Los Llanos De Aridane,es,28.66,-17.92,68,68,75,17.22,30
36,1510,Morganton,us,35.75,-81.69,74.7,88,75,3.4,170.001
37,447,Riachao Das Neves,br,-11.75,-44.91,86.94,39,0,9.89,108.501
38,1299,Johi,pk,26.69,67.61,89.46,26,0,12.24,219.001
39,2175,Poddorye,ru,57.47,31.12,66.51,34,0,6.76,70.0007
40,822,Bartica,gy,6.41,-58.62,86,66,75,13.87,54
41,1673,Liverpool,ca,44.04,-64.71,57.15,71,0,21.63,235.501
42,923,Birao,cf,10.3,22.78,83.16,60,88,3.18,223.001
43,1377,Nalut,ly,31.86,10.98,80.82,42,0,7.09,62.0007
44,1690,Bulancak,tr,40.94,38.23,61.02,96,24,1.83,27.5007
45,2356,Sangar,ru,63.92,127.47,48.51,69,0,4.18,297.001
46,1726,Janesville,us,42.68,-89.02,84.42,54,40,6.93,210
47,1255,Doha,qa,25.29,51.53,87.8,62,0,4.7,50
48,319,Dondo,mz,-19.62,34.74,74.43,83,0,6.98,88.5007
49,1441,Dera Ismail Khan,pk,31.83,70.91,81,32,24,8.99,15.5007
50,269,Pangai,to,-19.8,-174.35,77,94,20,10.22,33.5007
51,1981,Krasnokamensk,ru,50.1,118.04,42.48,81,12,3.18,11.5007
52,1818,Astoria,us,46.19,-123.83,57.2,67,40,13.87,320
53,1610,Price,us,39.6,-110.81,75.2,13,1,11.41,160
54,38,Necochea,ar,-38.55,-58.74,64.62,63,0,13.24,320.001
55,1549,Orange Cove,us,36.62,-119.31,61.57,72,90,9.17,360
56,1509,Soddy-Daisy,us,35.24,-85.19,82.4,58,40,4.7,160
57,387,Luangwa,zm,-12.88,28.25,63.99,55,12,4.29,132.001
58,2283,Vilyuysk,ru,63.75,121.63,50.58,48,0,3.74,301.001
59,55,Ancud,cl,-41.87,-73.83,54.54,97,92,15.93,348.501
60,804,Pantai Remis,my,4.46,100.63,79.63,94,75,2.95,59.5007
61,1560,Virginia Beach,us,36.85,-75.98,82.04,42,40,9.17,220
62,233,Roebourne,au,-20.77,117.15,68.4,85,8,8.99,209.001
63,1362,Camalu,mx,30.85,-116.07,70.02,47,0,7.99,304.001
64,637,Wundanyi,ke,-3.4,38.37,69.93,81,68,7.99,154.001
65,392,Maroantsetra,mg,-15.43,49.74,68.58,100,92,7.2,177.501
66,1331,Marsa Matruh,eg,31.35,27.25,73.4,73,40,11.41,310
67,1045,Sainte-Marie,mq,14.78,-60.99,86,62,75,17.22,110
68,1040,Bull Savanna,jm,17.89,-77.59,80.19,72,92,10.56,111.501
69,1503,Winslow,us,35.02,-110.7,78.8,13,1,6.93,100
