,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,1009,Diffa,ne,13.32,12.61,91.51,45,0,8.41,186.503
1,496,Bima,id,-8.45,118.73,74.68,100,20,4.83,166.503
2,993,Wiwili,ni,13.63,-85.83,77,69,75,2.71,176.003
3,1975,Ust-Koksa,ru,50.27,85.62,34.54,93,0,1.92,170.003
4,492,Victoria,sc,-4.62,55.45,81.25,100,68,11.21,115.503
5,227,Thabazimbi,za,-24.59,27.41,55.15,49,32,2.37,304.503
6,1839,Challans,fr,46.85,-1.88,66.78,73,0,5.82,210
7,2223,Khvoynaya,ru,58.9,34.53,62.71,56,68,6.62,246.503
8,686,Samarinda,id,-0.5,117.14,73.24,100,24,2.15,266.503
9,2139,Yashkino,ru,55.87,85.43,41.92,100,92,12.21,30.003
10,1726,Janesville,us,42.68,-89.02,84.63,39,1,7.74,242.503
11,497,Ende,id,-8.84,121.65,79.72,100,80,7.18,152.503
12,391,Mahajanga,mg,-15.72,46.32,77,83,0,2.24,140
13,1550,Cedar City,us,37.68,-113.06,71.6,10,1,17.22,210
14,1073,Uthai Thani,th,15.37,100.05,82.24,74,48,6.85,178.003
15,1274,Loreto,mx,22.27,-101.99,81.88,31,0,8.08,25.003
16,2070,Horki,by,54.29,30.98,60.28,57,0,7.29,125.503
17,2348,Inta,ru,66.04,60.13,41.38,87,48,8.3,208.003
18,2180,Sovetsk,ru,55.08,21.89,71.26,65,88,5.39,131.503
19,2308,Onega,ru,63.91,38.09,57.04,51,56,15.35,340.003
20,1548,Healdsburg,us,38.61,-122.87,63.54,60,75,3.36,60
21,2334,Raudeberg,no,61.99,5.14,64.4,59,8,5.82,300
22,2068,Hrodna,by,53.68,23.83,67.93,60,8,11.88,120.003
23,828,Oume,ci,6.38,-5.42,82.4,69,75,6.93,180
24,178,Carazinho,br,-28.3,-52.79,73.15,68,0,5.95,343.503
25,869,Conakry,gn,9.52,-13.7,82.4,74,20,11.41,290
26,311,Governador Valadares,br,-18.85,-41.95,66.67,96,92,7.74,131.003
27,196,Schroeder,br,-26.41,-49.07,71.6,73,75,3.36,60
28,1676,Lagoa,pt,37.14,-8.45,66.2,77,20,10.29,270
29,2215,Tananger,no,58.94,5.59,61.03,49,0,8.05,290
30,838,Dilla,et,6.41,38.31,58.84,100,100,3.38,109.003
31,1777,Kincardine,ca,44.18,-81.63,56.32,58,48,7.52,220.003
32,1926,Mayskiy,ru,43.63,44.06,60.8,82,90,6.06,102.003
33,242,Tocopilla,cl,-22.09,-70.2,63.61,97,48,6.29,219.003
34,2436,Ust-Kuyga,ru,70,135.55,29.77,89,0,4.61,276.003
35,616,Coahuayana,mx,18.62,-100.35,87.01,36,0,3.04,246.503
36,601,Micheweni,tz,-4.97,39.83,79.99,100,32,15.01,165.503
37,469,Santiago De Cao,pe,-7.96,-79.24,68,77,40,10.29,180
38,1408,Estacion Coahuila,mx,32.19,-115,77.88,26,1,13.87,310
39,1724,Le Mars,us,42.79,-96.17,92.84,21,1,12.75,310
40,1204,Hasaki,jp,35.73,140.83,61.65,93,75,6.93,20
41,267,Koumac,nc,-20.56,164.28,67.39,100,92,9.98,95.503
42,936,Ko Samui,th,9.54,99.94,86.02,100,44,4.61,141.003
43,440,Mazamari,pe,-11.33,-74.53,72.16,81,20,1.59,331.503
44,378,Goianesia,br,-15.32,-49.12,80.26,54,0,9.64,80.503
45,1914,Balkhash,kz,46.84,74.98,62.08,75,0,3.94,65.003
46,553,Kasongo-Lunda,cd,-6.48,16.82,82.33,50,92,1.7,128.503
47,1683,Sabaudia,it,41.3,13.03,73.4,64,0,4.7,240
48,688,Tondano,id,1.3,124.91,73.4,94,20,2.24,30
49,1094,Santa Maria,cv,16.6,-22.9,73.4,64,75,16.11,50
50,1000,Dakar,sn,14.69,-17.45,73.4,78,0,6.93,360
51,2450,Longyearbyen,sj,78.22,15.64,32,89,40,19.46,280
52,1140,Pombas,cv,17.15,-25.02,71.08,100,8,16.91,46.503
53,1234,Taitung,tw,22.76,121.15,77.56,100,0,4.38,268.003
54,1977,Kholtoson,ru,50.3,103.31,30.67,79,0,3.15,285.003
55,764,Galle,lk,6.04,80.22,77.2,100,80,9.64,221.503
56,563,Karawang,id,-6.3,107.31,71.44,96,32,3.71,184.503
57,821,Ciudad Bolivar,ve,8.12,-63.55,92.86,50,56,9.75,116.003
58,1713,Shizunai,jp,42.33,142.37,39.04,95,20,6.29,341.503
59,889,Dhidhdhoo,mv,6.88,73.1,77.65,100,92,20.71,323.003
60,1916,Zaysan,kz,47.47,84.87,45.52,79,0,2.48,157.503
61,1739,Spoleto,it,42.74,12.74,75.72,61,20,4.7,250
62,2357,Borogontsy,ru,62.67,131.17,54.7,56,0,2.37,359.003
63,525,Utete,tz,-7.99,38.76,77.29,72,0,5.39,132.503
64,555,Mbuji-Mayi,cd,-6.13,23.6,71.26,81,0,2.71,261.003
65,1323,Callaway,us,46.98,-95.91,87.84,22,1,16.11,290
66,1540,Daokou,cn,35.61,105.12,38.77,84,24,2.71,251.503
67,584,Itupiranga,br,-5.13,-49.33,93.2,46,40,3.36,110
68,1210,Dzilam Gonzalez,mx,21.28,-88.93,79.36,89,76,6.4,341.003
69,1427,Yafran,ly,32.06,12.53,78.46,23,8,6.17,8.50296
70,279,Sao Jose Do Calcado,br,-21.03,-41.65,70.09,75,92,5.06,90.503
71,1463,Starkville,us,33.45,-88.82,81.16,61,75,3.36,120
72,2001,Sept-Iles,ca,50.2,-66.38,55.4,47,75,14.99,20
73,80,Sale,au,-38.11,147.06,42.91,100,20,2.59,355.003
74,543,Novo Aripuana,br,-5.12,-60.38,85.21,76,36,2.71,57.503
75,426,Ambilobe,mg,-13.19,49.05,77.74,61,0,7.07,111.003
76,1088,Savannah Bight,hn,16.45,-85.85,85.48,95,12,10.42,295.503
77,1444,Dharchula,in,29.85,80.53,48.22,69,0,1.81,19.503
78,846,Kalmunai,lk,7.42,81.82,76.48,97,64,10.65,189.003
79,1515,Melilla,es,35.29,-2.94,69.08,68,0,9.17,280
80,184,Mondlo,za,-27.96,30.72,56.59,75,8,8.52,86.503
81,233,Roebourne,au,-20.77,117.15,62.08,56,0,11.21,175.503
82,1480,Mandali,iq,33.75,45.55,81.7,24,8,4.5,4.50296
