,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,202,Fochville,za,-26.49,27.49,70.21,21,0,4.38,225
1,2032,Toora-Khem,ru,52.47,96.11,48.43,66,88,5.39,241.5
2,1506,Elk City,us,35.41,-99.4,69.69,64,1,5.82,170
3,1026,Bang Phae,th,13.69,99.93,92.53,63,0,10.09,172
4,1206,Kahului,us,20.89,-156.47,75.2,78,40,20.8,50
5,2437,Chokurdakh,ru,70.62,147.9,28.36,96,0,5.73,90.0002
6,1650,Dongsheng,cn,29.72,112.52,81.1,80,92,9.42,6.50021
7,740,Grand-Santi,gf,4.27,-54.38,71.2,100,88,2.15,45.0002
8,43,Port Lincoln,au,-34.72,135.86,67.6,70,80,15.68,356.5
9,1091,Barahona,do,18.21,-71.1,79.66,99,88,12.21,84.5002
10,1867,Anda,cn,46.41,125.33,75.88,31,36,11.77,349.5
11,872,Katiola,ci,8.14,-5.1,71.6,94,40,6.93,220
12,1407,Rosarito,mx,27.04,-109.91,79.21,39,8,13.22,314.5
13,1332,Matay,eg,28.42,30.79,94.6,34,0,10.09,0.000213623
14,687,Luwuk,id,-0.95,122.79,78.58,100,80,3.71,206
15,1649,Wuda,cn,39.5,106.72,67.24,20,44,12.21,288
16,1655,Yamada,jp,36.58,137.08,75.13,73,20,10.29,10
17,632,Mangai,cd,-4.07,19.59,86.23,70,20,2.93,309
18,234,Emerald,au,-23.53,148.16,73.27,46,32,14.79,80.5002
19,1232,Danshui,cn,22.81,114.46,89.29,70,0,10.65,204
20,942,Dinagat,ph,9.96,125.59,84.34,91,32,11.77,77.0002
21,1809,Tongliao,cn,43.61,122.27,81.1,29,80,4.61,70.5002
22,2084,Kytmanovo,ru,53.46,85.45,66.43,92,68,12.21,253.5
23,2428,Kamenka,ru,53.19,44.05,56.35,50,0,15.68,33.5002
24,1318,Ocampo,mx,27.32,-102.4,60.04,68,0,3.38,94.0002
25,251,Georgetown,sh,-7.93,-14.42,78.58,100,56,12.66,112
26,1880,Boissevain,ca,49.23,-100.06,60.8,77,1,10.29,270
27,609,Angoram,pg,-4.06,144.07,81.28,89,76,3.71,64.5002
28,389,Nampula,mz,-15.12,39.26,75.2,83,75,6.93,140
29,2411,Naryan-Mar,ru,67.67,53.09,46.18,92,20,7.96,224.5
30,1773,Brookings,us,44.31,-96.8,65.77,88,1,4.7,280
31,2327,Dzhebariki-Khaya,ru,62.22,135.8,70.3,28,8,8.19,311
32,591,Axim,gh,4.87,-2.24,73.81,100,92,7.63,201
33,2302,Timra,se,62.49,17.33,63.36,42,0,8.05,320
34,289,Nosy Varika,mg,-20.58,48.53,72.28,100,32,3.38,259
35,255,Pilikwe,bw,-22.8,27.19,76.78,33,44,8.75,54.5002
36,991,Ocos,gt,14.51,-92.19,77,88,75,6.4,40.0002
37,2194,Chunskiy,ru,56.08,99.63,62.38,35,0,5.17,238
38,1142,Atar,mr,20.52,-13.05,82.36,26,0,6.4,21.0002
39,1612,Black Forest,us,39.01,-104.7,62.04,54,1,4.7,90
40,1045,Sainte-Marie,mq,14.78,-60.99,78.8,78,75,5.82,90
41,2067,Ostroda,pl,53.7,19.96,71.74,70,56,5.39,121.5
42,1830,Mattawa,ca,46.32,-78.7,59,100,90,8.05,270
43,1570,Timizart,dz,36.8,4.25,82.9,37,56,2.26,160
44,2267,Lipin Bor,ru,60.26,37.97,67.51,59,0,11.65,252
45,1659,Shasta Lake,us,40.68,-122.36,54.36,93,90,2.37,79.0002
46,406,Ayacucho,pe,-13.16,-74.23,30.88,94,24,3.15,251
47,2088,Balagansk,ru,54.01,103.05,51.22,67,20,4.38,288
48,1559,Bon Air,us,37.52,-77.56,70.57,88,1,4.7,200
49,1618,Parkersburg,us,39.27,-81.55,66.25,93,75,3.38,198.5
50,84,Okato,nz,-39.19,173.88,56.8,100,80,24.63,241
51,630,Mossendjo,cg,-2.95,12.72,77.5,84,32,2.93,220.5
52,327,Ingham,au,-18.65,146.16,73.81,90,100,16.8,120
53,1670,State College,us,40.79,-77.86,63.1,88,1,3.38,220.5
54,223,Henties Bay,na,-22.12,14.28,62.38,100,44,4.38,165.5
55,2058,Grindavik,is,63.84,-22.43,47.48,100,90,24.16,170
56,617,Salinas,ec,0.49,-78.13,45.28,96,44,1.92,126
57,394,Srandakan,id,-7.94,110.25,83.26,64,88,7.96,145.5
58,1923,Youhao,cn,47.86,128.84,50.14,97,92,4.72,114
59,426,Ambilobe,mg,-13.19,49.05,91.54,36,0,6.51,132.5
60,1797,Kara-Tyube,ru,44.63,45.44,84.25,37,36,17.81,37.0002
61,1934,Blairmore,ca,49.61,-114.44,55.4,66,36,6.93,250
62,2421,Gravdal,no,59.79,5.78,55.4,82,0,12.75,340
63,947,Tecoanapa,mx,16.99,-99.26,82.4,78,75,2.15,11.0002
64,411,Porangatu,br,-13.44,-49.14,69.76,79,56,13.22,127
65,1036,Acacoyagua,mx,15.34,-92.68,60.94,88,36,1.36,102
66,2317,Noyabrsk,ru,63.2,75.45,37.63,68,8,13.11,319
67,133,Salamanca,cl,-31.78,-70.97,32.41,61,0,1.48,30.5002
68,1744,Eregli,tr,37.51,34.05,69.31,77,12,4.38,339
69,1369,Jennings,us,38.72,-90.26,71.62,88,1,3.36,200
70,1806,Mandalgovi,mn,45.76,106.27,61.84,23,8,18.37,303.5
71,642,Sibolga,id,1.74,98.78,74.8,97,48,2.15,38.0002
72,326,Katherine,au,-14.47,132.26,89.6,31,0,6.93,150
73,708,Buchanan,lr,5.88,-10.05,78.76,100,92,4.72,234
74,416,Benguela,ao,-12.58,13.4,75.2,78,75,2.93,71.5002
75,715,Wamba,cd,2.14,27.99,82.9,69,44,3.04,40.0002
76,2405,Ilulissat,gl,69.22,-51.1,39.2,48,12,12.75,80
77,116,Rio Cuarto,ar,-33.13,-64.35,44.6,93,0,5.82,360
78,999,Porto Novo,cv,17.02,-25.06,69.8,73,20,16.11,60
79,272,Uyuni,bo,-20.46,-66.82,14.5,57,0,3.04,316
80,252,Otjimbingwe,na,-22.35,16.13,62.56,89,0,4.38,61.0002
81,1182,Nizwa,om,22.93,57.53,94.96,36,8,6.06,174.5
82,343,Carai,br,-17.19,-41.69,62.92,99,92,3.71,162
83,1980,Nizhniy Tsasuchey,ru,50.52,115.13,57.7,88,92,6.06,257
84,1731,Ipswich,us,45.44,-99.03,62.6,77,1,5.82,230
85,1462,Camden,us,39.94,-75.12,70.47,83,1,3.36,230
86,161,Vila Velha,br,-3.71,-38.6,77,94,40,5.82,150
87,648,Kendari,id,-3.99,122.52,75.79,98,100,1.14,83.0002
88,1213,Moron,cu,22.11,-78.63,77,94,75,5.82,110
89,1815,Mombetsu,jp,44.35,143.35,46.4,93,75,9.17,330
90,1661,Evanston,us,42.04,-87.69,70.43,88,1,3.36,230
91,2245,Nizhniy Kuranakh,ru,58.84,125.49,68.95,35,0,3.04,125
92,746,Bubaque,gw,11.28,-15.83,69.8,88,56,6.93,260
93,481,Olinda,br,-22.82,-43.41,68.92,82,75,3.36,90
94,1201,Gushikawa,jp,26.35,127.87,82.4,83,75,18.34,210
95,806,Limbang,my,4.75,115,89.6,75,75,6.93,300
96,157,Reconquista,ar,-29.14,-59.64,47.26,88,12,5.95,58.5002
97,668,Candido Mendes,br,-1.45,-45.72,77.68,100,76,3.83,54.5002
98,917,Djougou,bj,9.71,1.67,71.6,83,40,4.7,360
99,1287,Ribeira Grande,pt,38.52,-28.7,60.8,82,20,8.05,30
100,2304,Lapua,fi,62.97,23.01,65.05,40,0,6.93,260
101,1656,Bethel,us,60.79,-161.76,48.2,87,90,4.7,250
102,1436,Shahreza,ir,32.01,51.87,74.17,27,0,3.15,311
103,1928,Petropavlovsk-Kamchatskiy,ru,53.05,158.65,41,86,75,8.95,160
104,489,Liwale,tz,-9.8,37.92,83.26,46,0,7.07,142.5
105,1130,Altamirano,mx,16.73,-92.04,65.89,86,48,2.04,309.5
106,1496,Hirado,jp,33.32,129.49,77,61,20,11.41,360
107,1791,Bradesti,ro,44.48,23.63,77,47,0,8.05,80
108,1040,Bull Savanna,jm,17.89,-77.59,78.04,74,92,9.98,120.5
109,2414,Snezhnogorsk,ru,69.19,33.23,53.6,27,40,13.42,310
110,511,Conceicao Do Araguaia,br,-8.26,-49.26,72.55,87,92,3.15,175.5
111,2370,Bud,no,62.91,6.91,51.19,81,75,3.36,80
112,2406,Sorland,no,67.67,12.69,48.2,66,75,10.29,270
113,64,General Roca,ar,-39.03,-67.58,30.16,64,0,3.38,282.5
114,1231,Nandu,cn,31.44,119.33,73.4,83,90,4.47,60
115,1024,Yanam,in,16.73,82.22,93.16,60,0,10.42,141
116,371,San Cristobal,ec,-1.02,-79.44,59.68,100,68,0.69,263
117,1256,Sharjah,ae,25.36,55.39,94.03,36,0,8.05,210
118,89,Olavarria,ar,-36.89,-60.32,43.84,91,0,9.98,2.50021
119,537,Paita,pe,-5.09,-81.11,62.83,94,0,4.5,174
120,1608,Fallon,us,46.84,-105.12,62.6,67,1,3.36,160
121,1252,Umm Lajj,sa,25.02,37.27,95.32,48,0,8.19,312.5
122,1967,Shubarkuduk,kz,49.15,56.49,52.48,100,92,18.25,359
123,2044,Katangli,ru,51.71,143.23,35.83,92,88,5.73,351
124,451,Sao Jose Da Coroa Grande,br,-8.9,-35.15,73.81,98,68,5.17,142
125,2008,Tiel,nl,51.88,5.43,72.12,68,90,8.05,100
126,1863,Erzin,ru,50.26,95.16,52.66,44,92,6.62,265
127,2175,Poddorye,ru,57.47,31.12,71.74,37,8,8.41,183.5
