,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,471,Tarauaca,br,-8.16,-70.77,88.18,57,0,5.28,146.503
1,617,Salinas,ec,0.49,-78.13,59.74,80,80,1.25,76.003
2,1290,Awbari,ly,26.59,12.77,94.12,14,0,8.41,32.503
3,7,Port Elizabeth,za,-33.92,25.57,55.4,87,0,9.64,69.003
4,64,General Roca,ar,-39.03,-67.58,59,58,0,2.24,230
5,1722,Torrington,us,42.06,-104.18,79.07,50,1,4.16,99.003
6,2140,Chernenko,ru,44.37,39.31,71.26,52,0,10.76,79.503
7,400,Luganville,vu,-15.51,167.18,74.23,100,92,16.35,133.003
8,1239,La Paz,mx,24.15,-110.32,93.2,17,5,4.5,301.003
9,1944,Saint-Ambroise,ca,48.56,-71.32,60.58,50,20,11.41,350
10,1650,Dongsheng,cn,29.72,112.52,70.54,71,48,11.65,2.50296
11,2059,Claremorris,ie,53.72,-9,66.2,55,90,11.41,80
12,695,Muisne,ec,0.61,-80.02,81.97,87,64,4.16,200.003
13,832,Ikom,ng,5.96,8.72,75.67,90,64,4.16,137.503
14,1750,Zhanaozen,kz,43.35,52.85,78.91,26,12,22.95,0.00296021
15,2450,Longyearbyen,sj,78.22,15.64,32,89,40,14.99,280
16,2147,Taksimo,ru,56.36,114.84,42.01,78,8,2.37,114.003
17,1062,Bajil,ye,15.06,43.29,87.55,53,36,3.6,308.003
18,1780,Berlin,us,41.62,-72.75,85.68,43,20,8.05,220
19,2015,Ripky,ua,51.8,31.09,62.89,38,0,12.1,102.003
20,225,Aranos,na,-24.14,19.11,56.5,28,0,2.48,320.503
21,1529,Garmsar,ir,35.22,52.34,64.51,48,0,3.27,311.503
22,2022,Matveyevka,ru,54.92,83.08,44.6,93,90,8.95,10
23,2047,Burns Lake,ca,54.23,-125.76,45.88,56,76,4.61,220.003
24,1243,Key West,us,47.93,-96.78,82,39,1,13.87,300
25,1710,Vrangel,ru,42.73,133.08,47.86,96,44,4.16,287.003
26,892,Port Blair,in,11.67,92.75,79.9,100,80,12.44,164.503
27,234,Emerald,au,-23.53,148.16,58.48,74,0,9.64,113.003
28,793,Bosobolo,cd,4.19,19.88,76.93,85,68,8.63,187.003
29,1387,Zabol,ir,31.03,61.49,84.2,13,0,6.93,360
30,1351,Tongzi,cn,28.78,105.09,63.16,89,44,2.93,287.003
31,1714,Port Hardy,ca,50.7,-127.42,50,93,90,6.93,100
32,2300,Rindal,no,63.05,9.21,55.06,64,8,2.59,7.50296
33,638,Lamu,ke,-2.27,40.9,80.08,89,92,17.25,177.003
34,2294,Fairbanks,us,64.84,-147.72,50.59,66,1,4.38,268.503
35,2263,Forssa,fi,60.82,23.63,69.8,40,0,6.93,320
36,274,Mayor Pablo Lagerenza,py,-19.93,-60.77,92.14,35,0,13.22,19.003
37,2391,Batagay-Alyta,ru,67.8,130.41,31.39,78,8,2.71,12.503
38,931,Ponnani,in,10.77,75.93,80.6,83,75,5.82,200
39,2352,Muravlenko,ru,63.79,74.5,22.48,75,8,6.4,198.503
40,526,Kilindoni,tz,-7.91,39.67,79.72,100,56,11.88,151.003
