,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,2362,Aklavik,ca,68.22,-135.01,28.4,92,90,9.17,280
1,1585,Kaka,tm,37.35,59.62,87.58,30,0,3.71,52.0002
2,103,Veinticinco De Mayo,ar,-27.38,-54.75,49.69,88,36,2.71,95.5002
3,354,Tsiroanomandidy,mg,-18.77,46.05,80.5,33,0,5.53,116.502
4,81,Lakes Entrance,au,-37.88,147.99,53.47,95,0,6.96,80.5002
5,2390,Zhigansk,ru,66.77,123.37,56.44,41,12,3.71,357
6,742,Amapa,br,-1.83,-56.23,75.16,93,0,2.37,20.0002
7,1018,Lahij,ye,13.06,44.88,106.75,21,0,8.63,147
8,2356,Sangar,ru,63.92,127.47,63.64,31,0,6.85,302
9,745,Jardim,br,-21.48,-56.15,64.99,78,12,10.09,81.0002
10,1681,Sitges,es,41.24,1.82,68.58,77,75,17.22,60
11,1984,Zavitinsk,ru,50.11,129.44,61.03,56,44,2.37,230.5
12,1603,Ishinomaki,jp,38.42,141.3,64.4,63,40,11.41,120
13,1427,Yafran,ly,32.06,12.53,77.68,46,0,3.94,123
14,2313,Troitsko-Pechorsk,ru,62.71,56.19,53.74,56,0,7.85,268.5
15,1459,Portales,us,34.19,-103.33,67.55,51,1,4.7,90
16,853,Labuan,my,5.33,115.2,88.79,74,75,8.05,280
17,529,Jatiroto,id,-7.61,109.46,82.63,88,44,15.79,126.5
18,1827,Merrill,us,42.03,-121.6,48.2,87,90,11.41,250
19,1007,Sokoto,ng,13.06,5.24,85.42,76,48,12.44,206
20,934,Batticaloa,lk,7.71,81.69,78.22,100,92,6.06,215
21,1861,Baijiantan,cn,45.63,85.18,80.56,20,0,8.52,72.5002
22,1869,Baoqing,cn,46.32,132.2,61.39,54,88,3.27,107.5
23,1791,Bradesti,ro,44.48,23.63,77,47,0,8.05,80
24,408,San Ramon,bo,-13.27,-64.62,67.69,83,0,7.63,175
25,1943,Matagami,ca,49.76,-77.63,41,75,1,5.39,35.0002
26,1802,Karatau,kz,43.18,70.46,87.22,17,0,4.38,52.5002
27,1673,Liverpool,ca,44.04,-64.71,54.64,75,92,14.67,237
28,2411,Naryan-Mar,ru,67.67,53.09,46.18,92,20,7.96,224.5
29,136,Parana,ar,-31.73,-60.52,45.46,88,0,5.84,31.5002
30,1227,Mogok,mm,22.92,96.51,79.3,82,48,2.15,265
31,967,Maiduguri,ng,11.84,13.15,88.03,80,0,10.98,227
32,2007,Broadstairs,gb,51.36,1.44,62.62,87,40,6.93,10
33,714,Basoko,cd,1.23,23.61,75.52,93,92,6.4,278.5
34,496,Bima,id,-8.45,118.73,85.33,66,0,3.94,112
35,214,Poya,nc,-21.35,165.16,72.91,100,92,12.66,89.5002
36,106,Beloha,mg,-25.17,45.06,85.96,37,0,4.72,232
37,140,Calvinia,za,-31.47,19.78,50,76,0,6.93,70
