,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,572,Lae,pg,-6.72,146.98,89.6,55,40,2.48,117.508
1,242,Tocopilla,cl,-22.09,-70.2,54.84,100,20,1.59,140.008
2,50,Rio Grande,br,-32.03,-52.1,52.14,95,0,6.96,56.0081
3,2261,Hof,no,59.53,10.09,63.52,51,0,11.41,360
4,1485,Panjab,af,34.38,67.02,47.46,80,0,2.37,26.0081
5,1217,Aswan,eg,24.09,32.9,89.6,15,0,4.7,20
6,2326,Churapcha,ru,62,132.43,75.27,22,0,10.98,301.008
7,198,Walvis Bay,na,-22.95,14.51,51.8,93,90,9.64,177.508
8,1421,Canico,pt,32.63,-16.85,61.72,77,75,10.29,360
9,117,San Pedro,ar,-33.68,-59.66,47.55,98,0,10.98,25.0081
10,1819,Enumclaw,us,47.2,-121.99,54.23,76,90,2.04,264.008
11,1535,Gilgit,pk,35.92,74.31,35.94,83,20,0.25,90.0081
12,993,Wiwili,ni,13.63,-85.83,69.87,99,92,2.59,214.008
13,1560,Virginia Beach,us,36.85,-75.98,73.6,88,1,11.41,220
14,1403,Kushima,jp,31.5,131.29,66.02,94,75,11.41,90
15,2065,Malchin,de,53.74,12.76,60.8,77,20,2.24,120
16,1595,Yinchuan,cn,38.48,106.21,66.36,22,88,11.43,299.008
17,1002,Tambacounda,sn,13.77,-13.67,82.4,54,0,13.87,180
18,2353,Tarko-Sale,ru,64.92,77.78,29.73,94,80,14.45,300.508
19,2237,Belyy Yar,ru,53.6,91.39,53.6,93,75,8.95,150
20,1010,Moussoro,td,13.64,16.49,84.36,56,0,12.33,200.008
21,111,Port Macquarie,au,-31.43,152.91,64.4,72,40,5.82,110
22,1241,Galeana,mx,24.83,-100.08,51.51,98,0,2.37,25.5081
23,920,Mubi,ng,10.27,13.26,74.82,81,0,6.17,234.008
24,287,Morondava,mg,-20.3,44.28,79.59,74,8,3.71,151.008
25,1432,Turayf,sa,31.68,38.65,86,25,5,18.34,100
26,1158,Davila,ph,18.47,120.58,93.2,67,20,6.93,320
27,1867,Anda,cn,46.41,125.33,73.56,44,64,8.19,4.50812
28,1895,Plouzane,fr,48.38,-4.62,54.7,100,90,9.17,30
29,909,San Juan De Los Morros,ve,9.91,-67.35,75.2,94,40,2.24,20
30,1709,Helong,cn,25.94,116.13,92.55,49,32,5.95,245.008
31,1120,Dong Hoi,vn,17.48,106.6,88.77,77,0,10.98,231.508
32,488,Karonga,mw,-9.94,33.93,73.38,100,0,10.65,116.508
33,2385,Pangody,ru,65.85,74.49,25.23,99,48,16.24,311.508
34,362,Innisfail,au,-17.52,146.03,65.91,97,92,6.06,141.508
35,2198,Bodaybo,ru,57.85,114.2,67.44,42,0,5.61,159.508
36,1199,Basco,ph,20.45,121.97,86.79,95,0,10.2,257.508
37,63,Otane,nz,-39.89,176.62,43.05,72,20,10.2,261.508
38,1218,Riyadh,sa,24.63,46.72,93.2,13,0,2.24,120
39,1826,Cloquet,us,46.72,-92.46,65.71,68,1,6.93,200
40,671,Takoradi,gh,4.89,-1.75,79.05,100,92,5.5,236.508
41,383,Maragogi,br,-9.01,-35.22,74.1,97,88,6.17,139.508
42,2425,Kjollefjord,no,70.95,27.35,41.07,81,92,30.11,267.508
43,272,Uyuni,bo,-20.46,-66.82,16.77,48,0,4.72,293.008
44,2196,Ulkan,ru,57.24,107.32,50.34,87,92,5.73,200.508
45,32,Arraial Do Cabo,br,-22.97,-42.02,69.24,95,80,5.73,110.008
46,1869,Baoqing,cn,46.32,132.2,61.86,55,76,4.5,122.008
47,891,Eravur,lk,7.77,81.61,86.34,95,24,4.27,158.008
48,1128,Colima,mx,19.25,-103.72,66.63,95,0,0.58,205.008
49,1507,Okmulgee,us,35.62,-95.96,67.35,100,1,3.6,174.508
50,2090,Kurumkan,ru,54.33,110.32,37.2,97,100,2.37,252.508
51,1981,Krasnokamensk,ru,50.1,118.04,70.14,40,36,12.66,97.0081
52,756,Isiro,cd,2.77,27.62,72.3,89,64,3.15,95.0081
53,387,Luangwa,zm,-12.88,28.25,64.65,57,8,8.3,116.008
54,1260,Bari Sadri,in,24.42,74.48,105.42,20,0,11.43,303.508
55,509,Porto Velho,br,-8.75,-63.87,75.2,88,20,2.24,230
56,1161,Nishihara,jp,35.74,139.53,75.18,50,75,8.05,80
57,1346,Gasa,bt,27.91,89.73,35.49,89,20,1.7,130.508
58,234,Emerald,au,-23.53,148.16,77.88,40,8,14.79,103.508
59,400,Luganville,vu,-15.51,167.18,75.2,94,90,5.82,160
60,2380,Mezen,ru,65.85,44.24,57.45,58,8,5.39,203.508
61,2352,Muravlenko,ru,63.79,74.5,29.91,84,24,13,310.508
62,55,Ancud,cl,-41.87,-73.83,50.97,96,68,7.85,288.508
63,290,Saint-Paul,re,-21.01,55.27,80.64,65,20,20.8,120
64,2015,Ripky,ua,51.8,31.09,62.76,50,0,16.69,83.5081
65,461,Soe,id,-9.86,124.28,87.42,45,8,2.82,94.5081
66,1916,Zaysan,kz,47.47,84.87,68.34,42,0,5.39,61.5081
67,275,Bonito,br,-1.36,-47.3,74.64,95,24,2.93,55.0081
68,1541,Jiehu,cn,35.54,118.45,81.12,58,64,4.05,173.508
69,2241,Kodinsk,ru,58.6,99.18,62.04,33,8,4.94,212.508
70,1526,Sinjar,iq,36.32,41.88,86.34,31,0,5.17,321.008
71,2140,Chernenko,ru,44.37,39.31,73.2,77,0,3.15,43.5081
72,1130,Altamirano,mx,16.73,-92.04,64.74,86,0,1.92,330.008
73,1502,Bullhead City,us,35.15,-114.57,77.63,13,1,17.22,150
74,1613,Hays,us,38.88,-99.33,71.11,83,1,4.7,230
75,2177,Uglich,ru,57.53,38.32,60.87,51,0,9.98,226.008
76,941,Magdalena,ph,14.2,121.43,95,56,20,13.87,130
77,2349,Muzhi,ru,65.4,64.7,38.82,76,80,12.1,241.008
78,257,Maxixe,mz,-23.86,35.35,68,100,90,6.62,94.0081
79,2068,Hrodna,by,53.68,23.83,66.2,63,0,6.71,110
80,1810,Dehui,cn,44.53,125.71,78.8,19,0,6.71,60
81,603,Meulaboh,id,4.14,96.13,86.07,98,12,3.71,257.008
82,178,Carazinho,br,-28.3,-52.79,46.47,87,0,4.72,58.5081
83,917,Djougou,bj,9.71,1.67,71.6,78,40,8.05,70
84,1734,Leon,es,42.6,-5.57,50,100,40,0.81,2.50812
85,2023,Krasnoyarskiy,ru,51.97,59.9,42.96,92,92,20.83,22.0081
86,1028,Lumphat,kh,13.5,106.97,87.51,71,56,2.93,308.008
87,697,Cartagena Del Chaira,co,1.33,-74.84,70.86,99,92,2.15,291.008
88,779,La Palma,pa,8.4,-78.14,75.27,100,100,1.14,185.508
89,392,Maroantsetra,mg,-15.43,49.74,70.05,100,92,8.75,158.008
