,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,1267,Dali,cn,25.6,100.24,56.23,100,8,1.72,216.502
1,1131,Frontera,mx,18.53,-92.64,78.8,100,75,5.82,250
2,840,Xuddur,so,4.12,43.89,77.56,64,0,11.9,196.502
3,471,Tarauaca,br,-8.16,-70.77,86,62,40,6.93,160
4,2326,Churapcha,ru,62,132.43,62.35,33,0,5.97,302.502
5,788,Robertsport,lr,6.75,-11.37,79.81,100,56,9.33,236.502
6,988,Sulat,ph,11.81,125.45,82.42,94,88,8.77,90.002
7,527,Mitsamiouli,km,-11.38,43.28,80.17,96,24,8.99,131.002
8,234,Emerald,au,-23.53,148.16,55.15,91,0,9.55,129.502
9,2145,Magistralnyy,ru,56.17,107.45,43.09,87,76,2.39,276.002
10,2106,Sexsmith,ca,55.35,-118.78,69.8,28,40,13.87,250
11,1902,Matranovak,hu,48.04,19.98,59.56,94,48,2.95,349.002
12,1594,Baiyin,cn,36.55,104.13,46.4,65,90,6.71,200
13,1592,Hami,cn,42.84,93.51,45.34,50,0,4.74,99.002
14,1001,Essau,gm,13.48,-16.54,70.9,90,0,10.22,292.002
15,146,Broken Hill,au,-31.97,141.45,39.76,77,0,6.64,67.002
16,776,Cabo San Lucas,mx,22.89,-109.91,91.22,24,20,14.99,110
17,379,Arinos,br,-15.92,-46.11,75.31,51,8,6.42,107.002
18,2087,Tulun,ru,54.56,100.58,40.03,90,88,5.41,285.502
19,733,Acapulco,mx,16.86,-99.88,89.6,66,5,16.11,240
20,335,Acari,pe,-15.44,-74.62,69.1,53,0,3.4,189.502
21,759,Marsabit,ke,2.34,37.99,74.68,74,44,11.23,151.502
22,723,Singapore,sg,1.29,103.85,80.58,83,40,2.24,300
23,953,Punta Cardon,ve,11.61,-70.22,95,50,20,17.27,77.002
24,1042,Pedernales,do,18.04,-71.74,84.2,74,75,20.8,130
25,594,Kinshasa,cd,-4.32,15.31,78.85,78,8,6.93,260
26,1491,Linxia,cn,35.6,103.21,35.89,99,92,1.39,309.502
27,119,Santa Vitoria Do Palmar,br,-33.52,-53.37,59.11,88,0,5.64,76.502
28,1551,Durango,us,37.28,-107.88,82.49,7,1,8.05,180
29,143,Kwinana,au,-32.25,115.77,60.08,77,75,21.92,280
30,876,Lafia,ng,8.5,8.51,77.02,83,48,6.64,209.002
31,161,Vila Velha,br,-3.71,-38.6,82.4,74,75,8.05,70
32,515,Pitimbu,br,-7.47,-34.81,77,88,75,11.41,120
33,2330,Sinegorye,ru,62.09,150.53,34.81,100,68,2.62,33.502
34,201,Kuruman,za,-27.46,23.43,43.99,66,0,2.84,290.002
35,694,Puerto Baquerizo Moreno,ec,-0.9,-89.6,77,83,90,13.87,160
36,1882,Thunder Bay,ca,48.41,-89.26,62.6,77,75,11.41,60
37,380,Sao Joao Do Paraiso,br,-15.31,-42.01,66.58,72,0,10.45,129.502
38,2257,Vagur,fo,61.47,-6.81,48.4,100,0,3.18,106.002
39,570,Kiunga,pg,-6.12,141.3,75.49,98,92,2.39,103.502
40,1388,Rudbar,af,30.15,62.6,70.45,23,0,4.07,19.002
41,1817,Ucluelet,ca,48.94,-125.55,54.88,66,24,1.95,251.502
42,638,Lamu,ke,-2.27,40.9,77.65,99,92,13.02,179.502
43,1045,Sainte-Marie,mq,14.78,-60.99,82.4,69,75,18.34,100
44,714,Basoko,cd,1.23,23.61,73.42,94,24,4.18,265.502
45,823,Totness,sr,5.88,-56.32,79.81,99,80,13.69,67.002
46,649,Manokwari,id,-0.87,134.08,82.69,99,12,5.75,150.502
47,1238,Pacific Grove,us,36.62,-121.92,63.03,63,75,18.34,220
48,2086,Karatuzskoye,ru,53.61,92.87,39.49,99,92,4.18,139.502
49,2396,Belaya Gora,ru,68.54,146.19,34.63,94,0,5.53,124.502
50,1950,Nanortalik,gl,60.14,-45.24,33.01,97,92,16.6,309.502
51,922,Am Timan,td,11.04,20.28,78.64,73,36,3.18,161.502
52,63,Otane,nz,-39.89,176.62,42.01,95,44,9.44,208.502
53,870,Rotifunk,sl,8.23,-12.68,79.9,80,92,7.65,242.502
54,1102,Bilma,ne,18.69,12.92,82.24,15,0,6.42,11.002
55,1157,Zhuhai,cn,40.71,112.04,68,22,40,13.42,330
56,1814,Yoichi,jp,43.19,140.77,45.79,100,92,7.31,340.002
57,1109,Veraval,in,20.9,70.37,81.61,94,0,12.46,292.002
58,1331,Marsa Matruh,eg,31.35,27.25,69.8,83,40,11.41,350
59,559,Lugoba,tz,-6.46,38.33,72.88,91,76,2.62,203.502
60,548,Alexandria,br,-6.41,-38.01,80.8,59,32,8.43,139.002
61,696,Cuaspud,co,0.86,-77.73,57.2,71,75,10.29,120
62,228,Phalaborwa,za,-23.95,31.14,64.42,68,0,9.22,139.002
63,125,Saint-Joseph,re,-21.37,55.62,73.56,64,0,6.93,40
64,1603,Ishinomaki,jp,38.42,141.3,59.74,92,44,8.88,337.002
65,12,Albany,au,-35.02,117.88,60.37,70,80,21.3,277.502
66,1233,Chenghai,cn,23.46,116.77,78.8,88,0,2.24,250
