,index,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind-Speed,Wind-Direction
0,2257,Vagur,fo,61.47,-6.81,49.21,95,0,12.66,126.003
1,701,Mazagao,br,-0.12,-51.29,87.8,66,40,6.93,60
2,705,Aquiraz,br,-3.9,-38.39,82.4,78,75,9.17,80
3,1630,Cagliari,it,46.38,10.88,67.46,48,20,11.41,160
4,739,Bonfim,br,-20.33,-44.24,75.2,50,40,9.17,70
5,1121,Wanning,cn,18.8,110.4,85.03,98,0,10.87,207.503
6,1612,Black Forest,us,39.01,-104.7,81.52,12,1,6.93,210
7,1615,Columbia,us,38.95,-92.33,84.06,55,1,6.93,210
8,2313,Troitsko-Pechorsk,ru,62.71,56.19,51.37,59,56,7.18,233.003
9,779,La Palma,pa,8.4,-78.14,84.04,85,88,5.95,207.003
10,1446,Pasighat,in,28.06,95.33,66.31,98,92,1.7,3.00296
11,1852,Yashkul,ru,46.17,45.34,62.89,23,0,15.79,46.503
12,868,Mana,gf,5.67,-53.78,82.06,78,92,3.71,58.503
13,215,Salta,ar,-24.79,-65.41,65.44,52,40,3.94,76.003
14,1343,Dibai,in,28.21,78.26,89.17,27,100,1.7,6.00296
15,772,Ternate,id,0.8,127.4,81.61,100,36,3.38,301.503
16,776,Cabo San Lucas,mx,22.89,-109.91,95.95,21,5,5.82,160
17,1113,Chodavaram,in,17.44,81.78,82.42,80,12,5.28,135.503
18,2311,Yarensk,ru,62.17,49.09,62.26,51,64,8.19,272.503
19,2173,Jurmala,lv,56.97,23.77,73.4,49,8,3.36,300
20,789,Grand-Lahou,ci,5.24,-5,75.49,99,100,8.63,203.003
21,1658,Eureka,us,40.8,-124.16,56.32,71,40,12.75,310
22,654,Namatanai,pg,-3.66,152.44,83.14,100,68,9.42,105.503
23,866,Mabaruma,gy,8.2,-59.78,82.24,81,88,9.53,98.503
24,385,Mongu,zm,-15.27,23.14,70.18,41,32,6.51,121.003
25,1581,Naqadeh,ir,36.96,45.39,64.78,100,0,5.17,289.503
26,233,Roebourne,au,-20.77,117.15,62.08,56,0,11.21,175.503
27,2450,Longyearbyen,sj,78.22,15.64,32,89,40,14.99,280
28,1553,Dodge City,us,37.75,-100.02,91.02,28,1,17.22,190
29,2056,Moose Factory,ca,51.26,-80.61,46.4,61,1,10.29,80
30,1765,Iwanai,jp,42.97,140.51,44.98,100,56,5.39,35.003
31,1543,Seoul,kr,37.57,126.98,61.92,93,75,2.26,225.003
32,1747,Gali,ge,42.63,41.74,63.79,85,92,0.92,59.003
33,1804,Saryozek,kz,44.36,77.98,52.45,58,0,2.59,39.503
34,1976,Kosh-Agach,ru,49.99,88.66,29.14,81,0,2.59,194.503
35,1875,Grand Forks,ca,49.03,-118.46,69.8,35,20,6.93,10
36,1734,Leon,es,42.6,-5.57,60.8,55,20,3.83,205.503
37,1298,Turbat,pk,26,63.05,88.54,38,0,7.96,243.503
38,1112,Farrukhnagar,in,28.45,76.82,96.8,14,32,6.93,140
39,494,Singaparna,id,-7.35,108.11,68.56,100,80,1.48,168.503
40,1710,Vrangel,ru,42.73,133.08,47.86,96,44,4.16,287.003
41,353,Angoche,mz,-16.23,39.91,81.7,99,0,8.75,163.003
42,1473,Misratah,ly,32.38,15.09,71.17,80,0,7.74,54.503
43,2149,Tynda,ru,55.15,124.74,41.02,82,0,2.04,131.003
44,1912,Shubarshi,kz,48.59,57.19,49.12,54,8,25.08,19.003
45,2215,Tananger,no,58.94,5.59,62.76,49,0,9.17,280
46,1436,Shahreza,ir,32.01,51.87,52.81,49,0,2.37,26.003
47,84,Okato,nz,-39.19,173.88,57.22,100,80,27.65,252.503
48,891,Eravur,lk,7.77,81.61,77.29,100,80,4.38,110.503
49,1863,Erzin,ru,50.26,95.16,36.52,82,0,1.81,67.503
50,2224,Cherepovets,ru,59.13,37.92,65.41,48,64,13,259.003
51,1937,Weyburn,ca,49.67,-103.85,80.44,55,0,4.16,215.503
52,1661,Evanston,us,42.04,-87.69,84.38,45,20,4.7,360
53,1320,Port Lavaca,us,28.61,-96.63,89.04,58,75,3.36,190
54,1984,Zavitinsk,ru,50.11,129.44,44.44,93,0,3.38,230.003
55,2141,Ovsyanka,ru,53.58,126.91,44.62,81,0,2.37,28.503
56,258,Ihosy,mg,-22.4,46.13,55.69,89,0,2.59,154.003
57,1987,Vysokogornyy,ru,50.1,139.13,30.76,83,0,2.15,253.003
58,1744,Eregli,tr,37.51,34.05,58.93,85,12,2.59,121.003
59,108,Murray Bridge,au,-35.12,139.28,58.03,89,92,15.23,12.003
60,1428,Surt,ly,31.21,16.59,69.82,90,0,8.75,22.503
61,1708,Huanren,cn,41.26,125.37,57.04,68,88,3.27,169.503
62,624,Parintins,br,-2.63,-56.73,90.43,55,56,4.38,104.503
63,1044,Charlestown,kn,17.13,-62.62,83.26,66,75,17.22,80
64,161,Vila Velha,br,-3.71,-38.6,82.4,78,75,9.17,80
65,889,Dhidhdhoo,mv,6.88,73.1,77.65,100,92,20.71,323.003
66,2195,Rudnogorsk,ru,57.27,103.75,41.92,74,0,6.96,177.003
67,2066,Polczyn-Zdroj,pl,53.76,16.1,66.58,84,44,2.93,60.003
68,433,Nhulunbuy,au,-12.18,136.78,75.2,88,75,5.82,150
69,24,Tuatapere,nz,-46.13,167.69,46.06,100,92,19.71,214.503
70,694,Puerto Baquerizo Moreno,ec,-0.9,-89.6,80.6,74,75,14.99,180
71,714,Basoko,cd,1.23,23.61,71.98,96,92,4.16,296.003
72,2059,Claremorris,ie,53.72,-9,66.2,55,90,11.41,80
73,1745,Sinop,tr,42.03,35.15,68.2,93,36,5.73,303.503
74,2180,Sovetsk,ru,55.08,21.89,71.26,65,88,5.39,131.503
75,517,Mayumba,ga,-3.44,10.65,75.94,98,80,6.4,206.003
76,926,Dejen,et,10.16,38.15,68.11,55,36,0.92,223.503
77,2378,Umba,ru,66.69,34.34,51.01,54,0,15.68,311.503
78,1517,Tazmalt,dz,36.39,4.4,69.8,88,75,5.82,50
79,2027,Kulunda,ru,52.57,78.94,68.02,46,68,11.99,195.503
80,2210,Nuuk,gl,64.17,-51.74,32,100,90,10.29,250
81,1465,Aiken,us,33.56,-81.72,82.45,69,75,4.7,240
82,1278,Brownsville,us,25.91,-97.49,92.3,46,40,6.93,160
83,80,Sale,au,-38.11,147.06,42.91,100,20,2.59,355.003
84,837,Mizan Teferi,et,6.99,35.58,63.79,95,56,2.15,93.503
85,2106,Sexsmith,ca,55.35,-118.78,57.2,28,20,24.16,260
86,644,Prabumulih,id,-3.5,104.19,73.06,99,100,3.71,319.003
87,1421,Canico,pt,32.63,-16.85,64.13,55,40,10.29,360
88,755,Aketi,cd,2.74,23.78,73.33,91,80,2.37,263.503
89,1637,Nevsehir,tr,38.62,34.71,66.2,72,40,5.82,280
90,286,Quelimane,mz,-17.88,36.89,78.8,78,20,4.7,140
91,1141,Nouadhibou,mr,20.93,-17.03,81.97,42,0,18.7,349.503
92,203,Mhlambanyatsi,sz,-26.45,31.02,53.26,90,0,3.04,108.503
93,1168,Celestun,mx,20.87,-90.4,80.62,98,0,13.56,346.003
94,12,Albany,au,-35.02,117.88,58.84,94,88,17.25,290.503
95,191,Diego De Almagro,cl,-26.39,-70.05,68.11,77,0,3.38,284.003
96,530,Banyuwangi,id,-8.21,114.37,78.01,93,88,9.75,148.503
97,1953,Saint-Hubert,be,50.03,5.37,79.81,54,0,10.29,30
98,308,Cassilandia,br,-19.11,-51.73,82.06,54,0,9.75,56.003
99,1886,Chapais,ca,49.78,-74.86,51.8,40,1,11.41,360
100,2327,Dzhebariki-Khaya,ru,62.22,135.8,54.25,51,0,5.5,9.00296
101,1000,Dakar,sn,14.69,-17.45,73.4,78,0,9.17,340
102,842,Ugoofaaru,mv,5.67,73,84.31,100,76,20.71,281.503
103,94,Nelson Bay,au,-32.72,152.14,44.6,93,75,5.82,260
104,911,Rio Claro,tt,10.31,-61.18,84.2,79,40,12.75,120
